GLON,GLAT,z,Mbh
53.22765,10.9657,0.01454,143.448
53.53729,23.46448,0.01541,171.403
53.58057,11.1808,0.01404,153.417
53.65496,13.07629,0.01342,332.069
53.69417,87.33316,0.02072,132.216
53.97895,12.23641,0.0128,118.541
54.00992,-7.84233,0.01478,77.439
54.15671,-17.26147,0.0157,507.274
54.2302,10.49368,0.01521,135.355
54.30108,24.09251,0.02142,177.397
54.36742,-16.05894,0.01519,134.946
54.43982,-21.68905,0.01554,139.609
54.59244,13.91928,0.01148,207.895
54.6891,-57.22218,0.0086,42.725
54.71749,87.05891,0.02331,351.062
55.04093,69.15492,0.00672,30.45
55.15015,-72.41765,0.01491,199.975
55.16269,-2.88946,0.01493,70.687
55.16337,68.23059,0.01386,64.88
55.23001,-14.20315,0.01508,166.184
55.33447,5.64621,0.01533,89.764
55.35045,-16.3746,0.01502,255.58
55.35202,12.59653,0.01562,264.244
55.52205,-56.42367,0.00895,103.618
55.76173,87.77818,0.02132,145.012
56.05569,-17.17541,0.01484,351.949
56.0557,-4.19456,0.01327,87.524
56.18074,-60.31136,0.00974,96.406
56.2094,87.72467,0.01666,122.189
56.21173,-60.48964,0.01062,63.792
56.22492,-60.2966,0.0117,156.399
56.28305,87.86961,0.02303,183.242
56.3623,86.29581,0.02091,140.998
56.41818,64.36907,0.00564,16.526
56.59033,-20.80245,0.0151,151.625
56.8509,11.7204,0.01244,173.531
56.89992,21.78248,0.02371,212.767
57.09235,12.05656,0.01518,270.745
57.19236,87.89372,0.02166,1311.309
57.34625,88.07096,0.02288,191.894
57.62357,78.8895,0.01583,84.444
57.83833,21.68615,0.02332,525.48
57.98982,-18.09806,0.01551,330.116
58.08608,88.01003,0.0241,1249.567
58.38265,24.99457,0.01587,111.797
59.12342,-26.0482,0.01991,124.539
59.46499,-42.15669,0.01565,128.307
59.58812,88.07835,0.02282,192.301
59.60976,-47.95667,0.01638,120.534
59.68183,-69.56698,0.00591,12.179
59.70985,36.55883,0.02369,310.254
59.71581,-49.78319,0.00985,49.826
59.8578,87.68244,0.01961,151.476
59.95733,68.74828,0.01298,420.408
59.98154,84.11234,0.02211,188.956
60.05271,19.09509,0.02269,218.541
60.28206,67.38498,0.01055,256.921
60.29359,-47.50155,0.00943,125.025
60.51562,26.02157,0.01628,174.562
60.61861,17.38504,0.01769,195.455
60.74666,80.72018,0.02392,176.449
61.17696,-81.51042,0.02433,188.784
61.26876,69.14435,0.0107,102.008
61.39303,-24.4075,0.01663,102.323
61.41222,83.06839,0.00714,14.799
61.46695,-32.8798,0.01624,84.572
